sequence,AccelerometerX,AccelerometerY,AccelerometerZ
670,2055,741,-3447
671,2055,693,-3432
672,2073,765,-3432
673,2037,765,-3492
674,2037,747,-3501
675,2121,747,-3501
676,2121,741,-3501
677,2019,732,-3501
678,2007,732,-3456
679,2007,675,-3486
680,2022,648,-3486
681,2022,648,-3486
682,1950,756,-3486
683,1932,756,-3492
684,1932,765,-3471
685,1929,849,-3471
686,1893,849,-3522
687,1893,735,-3522
688,1902,735,-3609
689,1902,747,-3543
690,1902,684,-3543
691,1920,684,-3603
692,1920,753,-3663
693,1881,753,-3663
694,1881,774,-3627
695,2058,723,-3627
696,2019,723,-3624
697,2019,732,-3639
698,1998,795,-3639
699,1998,795,-3612
700,1983,894,-3612
701,1920,894,-3669
702,1920,801,-3633
703,1887,702,-3633
704,1887,702,-3531
705,1887,774,-3531
706,1956,774,-3612
707,1956,792,-3582
708,1911,843,-3582
709,1989,843,-3672
710,1989,780,-3672
711,2022,780,-3579
712,2022,816,-3603
713,1998,822,-3603
714,2016,822,-3612
715,2016,819,-3609
716,1989,819,-3609
717,1989,831,-3567
718,1992,831,-3567
719,1998,831,-3552
720,1998,810,-3537
721,2004,855,-3537
722,2004,855,-3492
723,2052,819,-3492
724,2001,819,-3501
725,2001,798,-3471
726,2055,849,-3471
727,2070,849,-3423
728,2070,828,-3423
729,1980,828,-3396
730,1980,804,-3396
731,1980,879,-3396
732,2019,879,-3432
733,2019,792,-3456
734,2016,792,-3456
735,2016,825,-3456
736,2022,867,-3456
737,2067,867,-3477
738,2067,804,-3402
739,2058,804,-3402
740,2058,750,-3306
741,2091,777,-3306
742,2055,777,-3321
743,2055,831,-3408
744,1950,849,-3408
745,1950,849,-3417
746,1971,882,-3417
747,1971,882,-3438
748,1971,912,-3501
749,2037,1014,-3501
750,1923,1014,-3438
751,1923,846,-3438
752,1911,846,-3492
753,1911,888,-3423
754,1923,795,-3423
755,1950,795,-3408
756,1950,810,-3477
757,1899,810,-3477
758,1899,810,-3447
759,1980,897,-3447
760,1983,897,-3501
761,1983,957,-3507
762,2067,873,-3507
763,2067,873,-3471
764,2025,921,-3471
765,2025,921,-3513
766,2025,942,-3483
767,2049,963,-3483
768,2052,963,-3462
769,2052,903,-3462
770,2073,903,-3531
771,2073,942,-3438
772,2118,900,-3438
773,2106,900,-3507
774,2106,885,-3498
775,2016,885,-3498
776,2016,921,-3528
777,2088,846,-3528
778,2100,846,-3462
779,2100,918,-3453
780,2025,969,-3453
781,2025,969,-3522
782,2049,897,-3522
783,2016,897,-3516
784,2016,870,-3501
785,1923,867,-3501
786,1923,867,-3522
787,1953,852,-3522
788,1986,852,-3498
789,1986,969,-3531
790,1989,930,-3531
791,2037,930,-3528
792,2037,948,-3477
793,2058,948,-3477
794,2058,897,-3408
795,2055,837,-3408
796,2007,837,-3471
797,2007,882,-3408
798,2043,906,-3408
799,2043,906,-3462
800,2106,936,-3462
801,2067,936,-3462
802,2067,912,-3411
803,2076,885,-3411
804,2013,885,-3471
805,2013,906,-3471
806,2019,906,-3387
807,2019,897,-3408
808,2085,846,-3408
809,2067,846,-3381
810,2067,921,-3408
811,2007,921,-3408
812,2007,933,-3468
813,2004,942,-3468
814,2004,942,-3423
815,2004,918,-3441
816,1992,855,-3441
817,1992,855,-3462
818,1950,873,-3462
819,1980,873,-3441
820,1980,828,-3462
821,1968,918,-3462
822,2070,918,-3492
823,2070,978,-3492
824,2109,978,-3573
825,2109,969,-3492
826,2055,927,-3492
827,2037,927,-3471
828,2037,885,-3411
829,1971,885,-3411
830,1971,927,-3462
831,1923,948,-3462
832,1932,948,-3453
833,1932,891,-3513
834,2004,912,-3513
835,2004,912,-3507
836,2043,882,-3507
837,2052,882,-3522
838,2052,942,-3453
839,2049,945,-3453
840,1953,945,-3528
841,1953,897,-3528
842,1917,897,-3549
843,1917,852,-3483
844,1884,963,-3483
845,1917,963,-3486
846,1917,921,-3513
847,1965,921,-3513
848,1965,936,-3447
849,1974,1002,-3447
850,1962,1002,-3426
851,1962,969,-3381
852,1983,903,-3381
853,1983,903,-3492
854,1986,939,-3492
855,1980,939,-3456
856,1980,972,-3441
857,1929,981,-3441
858,1929,981,-3528
859,1971,900,-3528
860,1965,900,-3501
861,1965,939,-3549
862,1974,975,-3549
863,1938,975,-3603
864,1938,948,-3699
865,1902,948,-3699
866,1902,927,-3714
867,1947,951,-3714
868,1965,951,-3813
869,1965,972,-4008
870,1962,927,-4008
871,1962,927,-4170
872,2058,873,-4170
873,2127,873,-4389
874,2127,744,-4566
875,2274,672,-4566
876,2445,672,-4551
877,2445,690,-4551
878,2538,690,-4620
879,2538,654,-4722
880,2640,861,-4722
881,2694,861,-4695
882,2694,939,-4707
883,2514,939,-4707
884,2514,735,-4551
885,2568,792,-4551
886,2451,792,-4590
887,2451,399,-4425
888,2457,324,-4425
889,2457,324,-4269
890,2565,162,-4269
891,2625,162,-4299
892,2625,279,-4311
893,2601,192,-4311
894,2577,192,-4206
895,2577,18,-4206
896,2577,18,-4206
897,2577,-114,-4089
898,2508,-294,-4089
899,2403,-294,-3939
900,2403,-234,-3993
901,2478,-234,-3993
902,2478,-426,-3723
903,2502,-237,-3723
904,2274,-237,-3693
905,2274,-696,-3492
906,2277,-1200,-3492
907,2277,-1200,-3207
908,2298,-1479,-3207
909,2103,-1479,-3060
910,2103,-1455,-2916
911,2007,-1350,-2916
912,2037,-1350,-2754
913,2037,-1554,-2754
914,1980,-1554,-2520
915,1980,-1761,-2247
916,2043,-2004,-2247
917,2352,-2004,-2007
918,2352,-2019,-1791
919,2181,-2019,-1791
920,2181,-2058,-1632
921,2085,-2223,-1632
922,1842,-2223,-1386
923,1842,-2382,-1194
924,1881,-2196,-1194
925,1881,-2196,-981
926,1914,-2286,-981
927,1923,-2286,-744
928,1923,-2544,-468
929,2118,-2517,-468
