sequence,AccelerometerX,AccelerometerY,AccelerometerZ
1159,3591,132,-153
1160,3762,132,-186
1161,3762,567,-222
1162,3687,483,-222
1163,3687,483,-312
1164,3762,477,-312
1165,3852,477,-291
1166,3852,972,-333
1167,3879,852,-333
1168,3879,852,-474
1169,3963,822,-474
1170,4059,822,-483
1171,4059,855,-369
1172,3996,855,-369
1173,3996,1371,-276
1174,3894,1113,-276
1175,3873,1113,-306
1176,3873,1080,-183
1177,3864,1080,-183
1178,3864,1149,-258
1179,3945,1347,-258
1180,3969,1347,-312
1181,3969,1530,-357
1182,3834,1530,-357
1183,3834,1470,-198
1184,3708,1506,-198
1185,3639,1506,-141
1186,3639,1725,-141
1187,3627,1725,-243
1188,3627,1995,-369
1189,3774,1890,-369
1190,3813,1890,-408
1191,3813,1929,-408
1192,3759,1929,-243
1193,3759,2070,-273
1194,3534,2223,-273
1195,3534,2223,-267
1196,3468,2439,-267
1197,3555,2439,-423
1198,3555,2379,-453
1199,3651,2373,-453
1200,3651,2373,-468
1201,3723,2310,-468
1202,3714,2310,-312
1203,3714,2226,-288
1204,3318,2550,-288
1205,3318,2550,-153
1206,3033,2478,-153
1207,2967,2478,-141
1208,2967,2382,-63
1209,2898,2382,-63
1210,2898,2391,-12
1211,2898,2487,-12
1212,2850,2487,-18
1213,2850,2760,-42
1214,2634,2760,-42
1215,2634,2889,-72
1216,2457,2937,-72
1217,2343,2937,-93
1218,2343,3063,-96
1219,2589,3063,-96
1220,2589,3255,-81
1221,2826,3348,-81
1222,2904,3348,-6
1223,2904,3555,-6
1224,2601,3555,108
1225,2601,3639,63
1226,2397,3645,63
1227,2313,3645,60
1228,2313,3552,60
1229,2382,3552,3
1230,2382,3714,-108
1231,2388,3738,-108
1232,2388,3738,-231
1233,2307,3702,-231
1234,2220,3702,-348
1235,2220,3765,-306
1236,2385,3894,-306
1237,2385,3894,-192
1238,2454,4002,-192
1239,2262,4002,-141
1240,2262,4017,-72
1241,1914,3894,-72
1242,1914,3894,-123
1243,1728,3843,-123
1244,1749,3843,-192
1245,1749,3855,-273
1246,1833,3765,-273
1247,1833,3765,-291
1248,1578,3843,-291
1249,1536,3843,-237
1250,1536,4011,-153
1251,1602,4011,-153
1252,1602,4080,-141
1253,1578,4011,-141
1254,1335,4011,-132
1255,1335,3963,-261
1256,1155,3963,-261
1257,1155,3969,-273
1258,1365,4014,-273
1259,1371,4014,-339
1260,1371,3918,-363
1261,1230,3918,-363
1262,1230,3984,-291
1263,1230,4122,-291
1264,1149,4122,45
1265,1149,4293,150
1266,1176,4293,150
1267,1176,4515,195
1268,1200,4581,195
1269,1458,4581,114
1270,1458,4404,114
1271,1314,4404,18
1272,1314,4305,-78
1273,900,4068,-78
1274,540,4068,75
1275,540,4092,75
1276,264,4092,99
1277,264,4191,165
1278,387,4404,165
1279,693,4404,204
1280,693,4371,204
1281,999,4371,93
1282,999,4290,84
1283,939,4158,84
1284,939,4158,39
